Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,Yes,No,41,Yes,No,DSL,No,No internet service,Yes,No,No,Yes,Month-to-month,No,Electronic check,35.16,1374.39,No
Male,0,Yes,No,53,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,89.63,4610.46,Yes
Female,0,Yes,No,29,Yes,No phone service,No,No,No,No,No,No,No,Two year,Yes,Electronic check,64.75,1790.47,No
Female,0,Yes,No,70,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),53.36,3619.38,No
Male,0,Yes,No,59,Yes,No,No,No,No,No,No,No,No,One year,Yes,Mailed check,44.26,2496.82,No
Female,0,No,No,64,Yes,Yes,DSL,No,Yes,No internet service,No,No,No,Two year,Yes,Credit card (automatic),62.56,4004.49,No
Female,0,Yes,Yes,24,Yes,No,Fiber optic,No,No,Yes,Yes,No internet service,Yes,Month-to-month,No,Mailed check,65.91,1507.21,Yes
Female,0,Yes,No,16,Yes,No,DSL,No,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,31.55,503.42,No
Male,0,No,Yes,52,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),78.91,4266.98,Yes
Female,0,No,No,6,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),55.23,339.62,Yes
Male,0,No,No,37,Yes,No,DSL,No internet service,Yes,No,No,No,No,Two year,No,Credit card (automatic),73.9,2855.69,Yes
Male,0,Yes,No,4,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),64.04,249.16,Yes
Female,1,Yes,No,38,Yes,Yes,Fiber optic,No,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,22.45,855.75,No
Male,0,No,No,41,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),104.03,4187.85,Yes
Male,0,Yes,Yes,14,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Mailed check,64.66,904.68,Yes
Female,0,Yes,No,71,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Mailed check,53.97,3853.74,No
Female,0,No,No,51,Yes,No,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),82.48,4011.38,Yes
Female,0,No,No,65,Yes,No,DSL,No,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,30.28,1915.7,No
Female,0,Yes,Yes,52,Yes,No,Fiber optic,No,No internet service,Yes,No,No,No,One year,No,Bank transfer (automatic),18,955.17,No
Male,1,No,No,30,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,81.7,2517.89,Yes
Male,0,Yes,No,57,Yes,Yes,DSL,Yes,No,No,Yes,No,No internet service,Month-to-month,Yes,Electronic check,99.4,5705.15,Yes
Male,0,Yes,No,30,Yes,No phone service,Fiber optic,No internet service,Yes,No,Yes,No,No internet service,Two year,No,Mailed check,73.59,2157.11,Yes
Female,0,Yes,No,42,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),89.17,3709.59,Yes
Female,0,Yes,No,11,Yes,Yes,DSL,No internet service,No,No,Yes,No internet service,Yes,Month-to-month,No,Mailed check,27.01,285.11,No
Female,0,Yes,No,27,No,No,DSL,No,No,No internet service,No,No,No internet service,Month-to-month,No,Mailed check,54.22,1530.28,No
Female,0,No,No,24,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),45.26,1126.29,No
Male,0,No,Yes,39,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Electronic check,95.83,3575.02,Yes
Male,0,No,Yes,72,Yes,Yes,Fiber optic,No,No,No internet service,No,Yes,No internet service,One year,No,Electronic check,79.82,5555.37,No
Male,0,Yes,No,18,Yes,No,Fiber optic,No,No,No internet service,No,No internet service,Yes,Two year,No,Credit card (automatic),95.93,1740.74,Yes
Female,1,Yes,Yes,45,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),46.46,2034.76,No
Male,0,Yes,No,12,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,31.06,388.91,No
Female,1,Yes,No,49,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),104.87,5269.97,Yes
Male,0,Yes,Yes,31,Yes,No,No,No,No,No,No,No,No,One year,No,Electronic check,65.78,1992.95,Yes
Male,1,No,No,22,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,96.95,2027.56,Yes
Male,0,No,No,44,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),63.05,2857.27,No
Female,0,No,No,64,Yes,No,Fiber optic,No internet service,No,No internet service,No,Yes,No,Month-to-month,No,Credit card (automatic),120,7621.7,Yes
Female,1,Yes,No,25,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,100.34,2544.22,Yes
Male,0,No,No,51,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,60.2,3004.8,No
Male,1,Yes,No,7,Yes,Yes,DSL,No,No internet service,Yes,No,No,No,Two year,No,Electronic check,65.62,442.94,Yes
Female,0,Yes,No,6,No,No,DSL,No internet service,Yes,Yes,No,No,No internet service,Month-to-month,No,Electronic check,65.72,401.23,No
Male,0,Yes,No,24,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30.92,738.39,No
Female,0,No,Yes,19,Yes,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,50.54,934.83,No
Female,0,No,Yes,9,Yes,No phone service,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.26,418.6,Yes
Male,0,Yes,No,36,No,No,Fiber optic,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),71.98,2612.13,Yes
Male,0,No,Yes,40,Yes,No,DSL,No,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),40.55,1658.58,No
Female,0,No,Yes,24,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,60.5,1420.62,Yes
Male,0,Yes,No,48,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),54.01,2653.44,No
Male,0,Yes,Yes,63,Yes,Yes,DSL,No internet service,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),67.27,4103.72,No
Female,0,Yes,No,69,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,109.04,7402.19,Yes
Female,0,No,No,53,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,No,No,One year,No,Credit card (automatic),97.86,5313.59,Yes
Female,0,Yes,No,54,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),25.69,1409.48,No
Female,0,No,No,42,No,No,Fiber optic,No,No internet service,No,Yes,Yes,No,Month-to-month,No,Electronic check,63.44,2603.34,No
Male,0,Yes,Yes,45,Yes,No,Fiber optic,No,No internet service,No internet service,No,No internet service,No,Month-to-month,Yes,Electronic check,55.91,2420.88,No
Male,0,No,No,14,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),45.6,609.19,No
Female,0,Yes,No,29,Yes,No,Fiber optic,No internet service,No,No,No,Yes,Yes,One year,Yes,Mailed check,120,3597.59,Yes
Female,1,No,No,6,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No,No internet service,One year,No,Mailed check,49.2,282.66,Yes
Male,0,No,No,7,Yes,Yes,DSL,No internet service,No,Yes,No,No,No,One year,No,Electronic check,51.28,345.13,Yes
Female,0,No,No,37,Yes,No,DSL,Yes,No internet service,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),117.63,4238.15,Yes
Male,0,No,No,53,Yes,Yes,DSL,No internet service,Yes,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.07,4958.62,Yes
Male,0,Yes,Yes,18,Yes,No,DSL,Yes,Yes,No,No,Yes,No internet service,Month-to-month,No,Mailed check,51.7,957.57,No
Male,0,No,No,38,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,87.82,3252.89,Yes
Male,0,Yes,No,59,Yes,Yes,DSL,No,No,No internet service,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),57.82,3426.22,No
Male,0,Yes,Yes,1,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,59.82,,Yes
Male,0,No,No,68,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,40.84,2767.26,Yes
Male,1,Yes,Yes,44,Yes,No phone service,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,18,766.47,No
Female,1,No,No,47,Yes,No,No,No,No,No,No,No,No,Two year,No,Electronic check,22.25,1015.55,No
Female,0,No,No,35,Yes,No,DSL,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,31.86,1100.25,No
Female,0,Yes,Yes,60,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,No internet service,Yes,One year,Yes,Bank transfer (automatic),77.57,4775.84,No
Female,0,No,No,52,Yes,No phone service,DSL,No,Yes,Yes,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),69.6,3707.5,No
Male,0,Yes,Yes,8,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),97.59,774.08,Yes
Male,0,Yes,No,41,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,28.9,1139.72,No
Female,0,Yes,Yes,3,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,118.6,348,Yes
Male,0,No,No,69,Yes,No phone service,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),115.83,7996.55,Yes
Female,0,No,No,14,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No,Yes,Two year,No,Electronic check,66.06,959,Yes
Male,0,No,No,26,No,No,DSL,No,No,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),44.41,1208.73,No
Female,1,No,No,70,Yes,Yes,DSL,No,Yes,No,No,No,No internet service,Month-to-month,No,Credit card (automatic),45.96,3261.43,No
Male,1,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,No,One year,Yes,Bank transfer (automatic),70.94,4053.08,No
Female,0,Yes,No,40,No,No,Fiber optic,No,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,120,4892.86,Yes
Female,0,No,No,51,Yes,No phone service,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,62.15,3117.74,No
Female,1,No,No,5,Yes,No,DSL,No,Yes,No internet service,No internet service,No,Yes,Month-to-month,Yes,Electronic check,18,91.13,No
Male,0,Yes,No,32,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),120,3741.61,Yes
Female,0,Yes,Yes,1,Yes,No,Fiber optic,Yes,No,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),52.99,,Yes
Female,0,No,No,54,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),108.61,5615.81,Yes
Female,0,No,Yes,11,No,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,83.77,914.11,Yes
Female,0,Yes,No,53,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),60.55,3247.07,Yes
Female,1,Yes,No,8,Yes,Yes,DSL,No,Yes,Yes,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),93.98,773.55,Yes
Male,1,No,No,25,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,42.96,1107.33,No
Female,0,No,Yes,40,Yes,No,DSL,Yes,No,No,Yes,No internet service,No,Month-to-month,Yes,Mailed check,56.27,2361.64,No
Female,0,Yes,Yes,32,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),49.08,1505.81,No
Female,1,No,No,28,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,No,No,Month-to-month,Yes,Mailed check,58.98,1650.31,No
Male,0,Yes,No,3,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,81.43,244.81,Yes
Male,1,Yes,No,62,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No,Yes,Two year,No,Electronic check,81.21,5188.35,No
Female,0,No,No,27,No,No,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),18.34,483.61,No
Female,0,No,No,45,Yes,No,Fiber optic,Yes,No,Yes,No,No internet service,No,One year,Yes,Electronic check,48.93,2107.03,No
Male,0,Yes,No,25,Yes,Yes,DSL,No internet service,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,54.11,1327.56,No
Female,0,No,Yes,61,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),82.58,5281.15,Yes
Male,0,No,No,44,Yes,Yes,DSL,No,No,No,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),22.99,1051.97,No
Male,0,No,Yes,46,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),86.19,3923.21,Yes
Male,0,No,No,14,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No internet service,Two year,Yes,Mailed check,31.2,453.24,No
Male,0,No,Yes,8,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Mailed check,72.45,552.52,Yes
Female,0,No,No,48,Yes,Yes,Fiber optic,No,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.43,4636.86,Yes
Male,1,Yes,Yes,14,No,No,DSL,No internet service,No,No,No,No,Yes,One year,Yes,Credit card (automatic),28.19,403.61,No
Female,1,Yes,Yes,65,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,No,Electronic check,72.25,4565.44,No
Female,0,Yes,No,7,No,No,DSL,No internet service,No,No internet service,No internet service,No,No,One year,Yes,Electronic check,59.44,403.53,Yes
Female,0,No,Yes,49,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,35.68,1811.58,No
Female,0,No,Yes,55,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),28.25,1571.77,No
Male,0,Yes,No,13,Yes,No,Fiber optic,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,43.77,596.84,No
Female,1,Yes,Yes,56,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,40.69,2195.39,No
Female,0,No,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,58.83,3247.08,No
Male,0,Yes,No,15,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,52.2,768.22,No
Female,1,No,No,57,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No,No,No,Month-to-month,No,Electronic check,77.71,4597.85,No
Female,0,Yes,No,58,No,No,Fiber optic,No internet service,Yes,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),89.25,5049.83,Yes
Female,1,No,No,35,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),19.13,659.74,No
Female,1,No,No,16,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,No,Yes,Month-to-month,No,Electronic check,57.48,886.83,Yes
Female,0,Yes,Yes,8,Yes,No,Fiber optic,No,No,No internet service,No internet service,No,No internet service,Two year,Yes,Electronic check,36.5,300.04,No
Male,1,Yes,No,45,Yes,No,DSL,No internet service,Yes,No internet service,No internet service,Yes,Yes,One year,Yes,Electronic check,32.45,1421.95,No
Female,0,Yes,No,40,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),18,688.92,No
Female,0,No,No,54,Yes,Yes,Fiber optic,Yes,No internet service,No,No internet service,Yes,Yes,Two year,Yes,Mailed check,18,965.69,No
Male,0,No,No,14,Yes,Yes,DSL,Yes,Yes,No internet service,No,No,No internet service,Month-to-month,No,Credit card (automatic),49.43,684.51,No
Male,1,Yes,Yes,59,Yes,No,Fiber optic,No,No internet service,No,Yes,No internet service,No,One year,Yes,Bank transfer (automatic),76.79,4384.55,No
Male,0,No,No,53,Yes,Yes,DSL,Yes,No,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,76.68,3915.13,Yes
Female,0,No,No,27,Yes,No phone service,DSL,No internet service,No,No,No,No,No,One year,Yes,Credit card (automatic),33.42,938.12,No
Female,0,Yes,No,47,Yes,No,DSL,No internet service,No,No internet service,Yes,No,No,One year,No,Bank transfer (automatic),30.39,1366.6,No
Male,0,Yes,Yes,6,Yes,Yes,No,No,No,No,No,No,No,One year,No,Electronic check,72.18,415.73,Yes
Female,0,No,Yes,55,No,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,52.05,2789.76,No
Male,0,No,Yes,44,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,91.69,4217.05,Yes
Female,0,No,No,18,Yes,No,DSL,No internet service,No internet service,No,No,No,Yes,Month-to-month,No,Mailed check,31.68,546.6,No
Female,0,No,Yes,16,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No,No,Month-to-month,Yes,Electronic check,18,297.1,No
Female,0,No,Yes,12,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,83.37,1039.66,Yes
Male,0,Yes,No,20,No,No,DSL,No,No,No internet service,Yes,No internet service,No,One year,No,Electronic check,18,355.6,No
Male,0,No,Yes,45,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No,No internet service,Two year,Yes,Electronic check,21.63,953.29,No
Male,1,No,No,64,Yes,Yes,DSL,No,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),44.92,2925.87,No
Male,0,No,No,59,No,No,DSL,No,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),56.45,3398.04,No
Female,1,Yes,No,22,Yes,No phone service,Fiber optic,No,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),83.04,1878.03,Yes
Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),34.57,1678.5,No
Female,0,Yes,No,29,No,No,DSL,No,No,No,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.53,2961.16,Yes
Female,0,Yes,No,45,Yes,No phone service,DSL,Yes,No,Yes,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),19.52,894.82,No
Female,0,Yes,Yes,9,No,No,DSL,No,No,No,No internet service,No,Yes,One year,Yes,Mailed check,53.84,466.87,Yes
Female,0,No,Yes,24,Yes,No,DSL,No,Yes,No internet service,No,No,No,One year,Yes,Bank transfer (automatic),89.9,2159.92,Yes
Female,0,No,Yes,15,No,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,91.49,1387.84,Yes
Female,0,Yes,No,36,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,No,No,One year,No,Credit card (automatic),18,626.08,No
Male,0,No,No,13,No,No,Fiber optic,Yes,No,Yes,Yes,No,No internet service,One year,Yes,Credit card (automatic),120,1493.94,Yes
Male,0,Yes,No,44,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Credit card (automatic),55.33,2360.21,No
Male,0,Yes,No,71,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,No,No internet service,One year,Yes,Electronic check,73.35,5166.49,No
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,54.99,4112.84,No
Female,0,No,No,36,Yes,Yes,DSL,No,Yes,No internet service,No,No,No,One year,Yes,Electronic check,120,4333.79,Yes
Male,1,Yes,No,61,Yes,Yes,DSL,No,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,103.68,6481.64,Yes
Female,0,Yes,Yes,40,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,120,4643.59,Yes
Female,0,Yes,No,27,Yes,No phone service,DSL,No,Yes,No internet service,Yes,No,No internet service,One year,No,Electronic check,79.2,2054.14,Yes
Male,0,No,Yes,1,Yes,No,DSL,No internet service,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),92.36,,Yes
Male,0,Yes,No,34,Yes,No phone service,DSL,No internet service,No,No,No internet service,No,No,Two year,No,Electronic check,33.66,1123.14,No
Female,0,No,No,68,No,No,Fiber optic,No internet service,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),57.06,3898.74,No
Female,0,No,Yes,21,Yes,No,Fiber optic,No,Yes,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,92.39,2014.16,Yes
Female,0,No,No,33,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Mailed check,74.55,2441.97,Yes
Female,0,No,No,7,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),68.17,478.09,Yes
Female,0,Yes,No,65,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),41.73,2578.08,No
Female,0,Yes,No,3,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,99.96,285.88,Yes
Female,1,No,Yes,51,Yes,No phone service,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),99.54,4865.24,Yes
Female,0,Yes,No,54,Yes,Yes,DSL,No internet service,No,No,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),96.27,5302.03,Yes
Male,1,No,No,59,Yes,No,DSL,Yes,No,Yes,No internet service,Yes,No,Two year,Yes,Credit card (automatic),73.76,4345.83,No
Male,0,No,No,6,Yes,No phone service,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),65.3,379.77,Yes
Male,0,No,Yes,29,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,98.72,2889.39,Yes
Female,0,No,No,17,Yes,No phone service,DSL,No internet service,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),93.1,1589.76,Yes
Female,0,No,No,60,Yes,Yes,DSL,No,No,No internet service,No internet service,No,No,Month-to-month,No,Credit card (automatic),38.22,2198.9,No
Female,0,No,Yes,22,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),74.49,1661.79,Yes
Male,0,Yes,No,24,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),84.74,2088.09,Yes
Male,0,No,Yes,51,Yes,No,No,No,No,No,No,No,No,One year,No,Credit card (automatic),44.81,2236.53,No
Male,0,Yes,No,50,Yes,No,Fiber optic,No,No,No,No internet service,No,No,Month-to-month,Yes,Mailed check,92.1,4691.34,Yes
Male,0,Yes,Yes,11,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,86.53,923.25,Yes
Female,0,No,No,56,Yes,No,DSL,Yes,No,No internet service,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),52.51,3016.05,No
Male,0,Yes,No,71,Yes,Yes,DSL,No,No,Yes,No,Yes,No internet service,One year,No,Bank transfer (automatic),24.3,1796.34,No
Male,0,Yes,No,42,Yes,Yes,DSL,No,No internet service,No,No,No,No internet service,Month-to-month,Yes,Electronic check,82.59,3448.61,Yes
Female,0,Yes,No,39,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,120,4560.48,Yes
Male,1,No,No,69,No,No,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),72.66,4962.99,No
Female,0,No,No,48,Yes,No,DSL,No,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,84.24,3942.46,Yes
Female,1,No,Yes,57,Yes,Yes,DSL,No,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,30.04,1626.88,No
Male,0,Yes,Yes,21,No,No,Fiber optic,Yes,No,Yes,No,Yes,No internet service,Two year,Yes,Electronic check,63.57,1355.06,Yes
Female,0,No,No,20,Yes,Yes,DSL,No,No internet service,No internet service,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),61.66,1176.78,Yes
Female,0,No,Yes,15,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,38.41,559.46,No
Female,0,Yes,No,69,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed check,78.19,5515.12,No
Male,1,Yes,No,51,Yes,No,Fiber optic,No,No internet service,No,No internet service,Yes,No,One year,No,Bank transfer (automatic),77.04,3994.15,Yes
Female,0,Yes,Yes,62,Yes,Yes,DSL,Yes,No,Yes,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),56.18,3334.54,No
Male,0,No,No,37,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,Yes,No,Month-to-month,No,Electronic check,64.62,2429.21,No
Male,0,No,No,6,Yes,No,DSL,No,Yes,No internet service,No,Yes,No internet service,Two year,Yes,Electronic check,120,751,Yes
Male,0,No,No,71,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),46.38,3152.86,No
Female,1,Yes,No,26,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),31.06,800.75,No
Male,0,No,No,8,Yes,No,DSL,No,No,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,30.34,248.29,No
Male,0,No,Yes,4,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,72.47,294.74,Yes
Female,0,No,No,21,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),18,367.66,No
Male,0,No,No,31,Yes,No,No,No,No,No,No,No,No,One year,No,Credit card (automatic),49.69,1488.49,No
Male,0,Yes,No,21,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Mailed check,35.94,776.19,No
Male,0,Yes,Yes,25,No,No,Fiber optic,No internet service,No,Yes,No internet service,No internet service,No,Two year,Yes,Electronic check,63.28,1654.18,Yes
Male,0,No,Yes,15,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,63.41,976.6,Yes
Male,0,No,No,35,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,75.34,2759.04,Yes
Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No internet service,One year,Yes,Electronic check,83.47,4132.97,Yes
Female,0,Yes,No,43,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,99.25,4450.88,Yes
Male,0,No,No,41,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),54.39,2272.46,Yes
Male,0,Yes,No,37,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.01,1733.46,No
